1/1/15,494,0
1/2/15,494,0
1/3/15,493,-1
1/4/15,493,0
1/5/15,493,0
1/6/15,494,1
1/7/15,494,0
1/8/15,494,0
1/9/15,494,0
1/10/15,494,0
1/11/15,496,2
1/12/15,496,0
1/13/15,496,0
1/14/15,496,0
1/15/15,497,1
1/16/15,497,0
1/17/15,497,0
1/18/15,497,0
1/19/15,497,0
1/20/15,497,0
1/21/15,497,0
1/22/15,497,0
1/23/15,497,0
1/24/15,497,0
1/25/15,497,0
1/26/15,498,1
1/27/15,498,0
1/28/15,498,0
1/29/15,499,1
1/30/15,499,0
1/31/15,499,0
2/1/15,499,0
2/2/15,499,0
2/3/15,499,0
2/4/15,499,0
2/5/15,499,0
2/6/15,500,1
2/7/15,500,0
2/8/15,501,1
2/9/15,501,0
2/10/15,500,-1
2/11/15,500,0
2/12/15,500,0
2/13/15,500,0
2/14/15,500,0
2/15/15,500,0
2/16/15,500,0
2/17/15,500,0
2/18/15,501,1
2/19/15,501,0
2/20/15,501,0
2/21/15,501,0
2/22/15,501,0
2/23/15,502,1
2/24/15,502,0
2/25/15,502,0
2/26/15,502,0
2/27/15,502,0
2/28/15,502,0
3/1/15,502,0
3/2/15,502,0
3/3/15,502,0
3/4/15,502,0
3/5/15,501,-1
3/6/15,501,0
3/7/15,501,0
3/8/15,500,-1
3/9/15,499,-1
3/10/15,499,0
3/11/15,498,-1
3/12/15,499,1
3/13/15,485,-14
3/14/15,485,0
3/15/15,486,1
3/16/15,486,0
3/17/15,487,1
3/18/15,487,0
3/19/15,487,0
3/20/15,487,0
3/21/15,487,0
3/22/15,497,10
3/23/15,516,19
3/24/15,524,8
3/25/15,539,15
3/26/15,559,20
3/27/15,592,33
3/28/15,592,0
3/29/15,614,22
3/30/15,716,102
3/31/15,718,2
4/1/15,717,-1
4/2/15,719,2
4/3/15,719,0
4/4/15,719,0
4/5/15,719,0
4/6/15,719,0
4/7/15,719,0
4/8/15,719,0
4/9/15,719,0
4/10/15,719,0
4/11/15,719,0
4/12/15,719,0
4/13/15,719,0
4/14/15,719,0
4/15/15,719,0
4/16/15,720,1
4/17/15,719,-1
4/18/15,719,0
4/19/15,719,0
4/20/15,719,0
4/21/15,719,0
4/22/15,719,0
4/23/15,719,0
4/24/15,718,-1
4/25/15,718,0
4/26/15,718,0
4/27/15,718,0
4/28/15,718,0
4/29/15,752,34
4/30/15,884,132
5/1/15,"1,013",129
5/2/15,"1,129",116
5/3/15,"1,285",156
5/4/15,"1,462",177
5/5/15,"1,625",163
5/6/15,"1,788",163
5/7/15,"1,905",117
5/8/15,"2,009",104
5/9/15,"2,099",90
5/10/15,"2,105",6
5/11/15,"2,109",4
5/12/15,"2,114",5
5/13/15,"2,118",4
5/14/15,"2,117",-1
5/15/15,"2,117",0
5/16/15,"2,118",1
5/17/15,"2,118",0
5/18/15,"2,118",0
5/19/15,"2,120",2
5/20/15,"2,120",0
5/21/15,"2,120",0
5/22/15,"2,119",-1
5/23/15,"2,119",0
5/24/15,"2,120",1
5/25/15,"2,120",0
5/26/15,"2,119",-1
5/27/15,"2,120",1
5/28/15,"2,119",-1
5/29/15,"2,119",0
5/30/15,"2,119",0
5/31/15,"2,120",1
6/1/15,"2,121",1
6/2/15,"2,120",-1
6/3/15,"2,119",-1
6/4/15,"2,118",-1
6/5/15,"2,117",-1
6/6/15,"2,118",1
6/7/15,"2,117",-1
